StockCode,Description,TotalQtySold,DaysWithSales,StdDevOnSaleDays,AvgDailyDemand,AvgDailyDemand_ActiveDays,Safety_Stock,ReorderPoint,SimulatedDaysOfStock,CurrentStock,ReorderFlag,TotalRevenue_x,TotalRevenue_y,TotalRevenue,CumulativeRevenue,CumulativeRevenuePercent,ABC_Category
22111,SCOTTIE DOG HOT WATER BOTTLE,10218,407,41.94332491508224,13.826792963464142,25.105651105651106,183.0,280.0,12,165.9215155615697,Reorder Now,52192.31,52192.31,52192.31,5573565.880000001,20.219950512297622,A
21623,VINTAGE UNION JACK MEMOBOARD,7200,309,135.85351892001344,9.742895805142084,23.300970873786408,593.0,661.0,8,77.94316644113667,Reorder Now,52122.729999999996,52122.729999999996,52122.729999999996,5625688.610000001,20.409042925280072,A
21733,RED HANGING HEART T-LIGHT HOLDER,17999,519,62.98922665725995,24.355886332882275,34.68015414258189,275.0,445.0,9,219.20297699594047,Reorder Now,51556.97,51556.97,51556.97,5677245.580000001,20.59608285705962,A
84946,ANTIQUE SILVER T-LIGHT GLASS,14688,202,71.52049236778655,19.87550744248985,72.7128712871287,312.0,451.0,2,39.7510148849797,Reorder Now,51329.72,51329.72,51329.72,5728575.300000001,20.782298364430655,A
84946,ANTIQUE SILVER TEA GLASS ETCHED,23376,342,86.9821145659281,31.6319350473613,68.35087719298245,380.0,601.0,2,63.2638700947226,Reorder Now,51329.72,51329.72,51329.72,5779905.0200000005,20.96851387180169,A
22469,HEART OF WICKER SMALL,29037,417,123.60954406094687,39.29228687415426,69.63309352517986,540.0,815.0,1,39.29228687415426,Reorder Now,51127.76,51127.76,51127.76,5831032.78,21.153996702589474,A
21181,PLEASE ONE PERSON  METAL SIGN,1869,50,51.76867305817372,2.529093369418133,37.38,226.0,244.0,10,25.29093369418133,Reorder Now,51005.82000000001,51005.82000000001,51005.82000000001,5882038.600000001,21.33903715576506,A
21181,PLEASE ONE PERSON METAL SIGN,23248,372,85.01024180008666,31.45872801082544,62.494623655913976,371.0,591.0,19,597.7158322056833,OK,51005.82000000001,51005.82000000001,51005.82000000001,5933044.420000001,21.524077608940644,A
21232,STRAWBERRY CERAMIC TRINKET BOX,37610,536,88.61021320493332,50.893098782138026,70.16791044776119,387.0,743.0,1,50.893098782138026,Reorder Now,50760.48,50760.48,50760.48,5983804.900000001,21.70822801025975,A
21232,STRAWBERRY CERAMIC TRINKET POT,1371,39,32.65089541896086,1.8552097428958048,35.15384615384615,143.0,156.0,8,14.841677943166438,Reorder Now,50760.48,50760.48,50760.48,6034565.380000002,21.892378411578857,A
22090,PAPER BUNTING RETRO SPOTS,8296,241,58.04527076183432,11.22598105548038,34.42323651452282,253.0,332.0,15,168.3897158322057,Reorder Now,50753.100000000006,50753.100000000006,50753.100000000006,6085318.480000001,22.07650203951123,A
22090,PAPER BUNTING RETROSPOT,8512,314,31.738463903641268,11.51826792963464,27.10828025477707,139.0,220.0,16,184.29228687415423,Reorder Now,50753.100000000006,50753.100000000006,50753.100000000006,6136071.580000001,22.260625667443602,A
21929,JUMBO BAG PINK VINTAGE PAISLEY,25954,523,74.24174227911254,35.12043301759134,49.62523900573614,324.0,570.0,12,421.44519621109606,Reorder Now,50334.1,50334.1,50334.1,6186405.680000001,22.443229234530357,A
48194,DOOR MAT HEARTS,1708,119,33.04018822413609,2.311231393775372,14.352941176470589,144.0,160.0,9,20.80108254397835,Reorder Now,49633.29,49633.29,49633.29,6236038.970000001,22.623290381948337,A
48194,DOORMAT HEARTS,6139,418,47.63011825946115,8.307171853856563,14.686602870813395,208.0,266.0,10,83.07171853856562,Reorder Now,49633.29,49633.29,49633.29,6285672.260000001,22.80335152936632,A
21731,RED TOADSTOOL LED NIGHT LIGHT,29715,523,102.06429100917298,40.20974289580514,56.81644359464627,446.0,727.0,15,603.1461434370772,Reorder Now,49539.69,49539.69,49539.69,6335211.950000001,22.983073111879413,A
22457,NATURAL SLATE HEART CHALKBOARD ,15771,464,43.21349246642996,21.341001353179973,33.98922413793103,189.0,338.0,6,128.04600811907983,Reorder Now,48671.05,48671.05,48671.05,6383883.000000001,23.15964341598454,A
15056BL,EDWARDIAN PARASOL BLACK,9646,427,62.342708717658056,13.05277401894452,22.59016393442623,272.0,363.0,19,248.00270635994588,Reorder Now,48101.89,48101.89,48101.89,6431984.890000001,23.334148904264147,A
21754,HOME BUILDING BLOCK WORD,7847,572,11.89399203489531,10.618403247631935,13.718531468531468,52.0,126.0,12,127.42083897158322,OK,48079.69,48079.69,48079.69,6480064.580000001,23.508573854713756,A
84029E,RED WOOLLY HOTTIE WHITE HEART.,11830,333,82.12661091253565,16.00811907983762,35.525525525525524,359.0,471.0,3,48.02435723951286,Reorder Now,47737.380000000005,47737.380000000005,47737.380000000005,6527801.960000001,23.681756962614283,A
48187,DOOR MAT NEW ENGLAND,2026,165,18.69967649348052,2.7415426251691475,12.27878787878788,82.0,101.0,14,38.38159675236807,Reorder Now,47265.11,47265.11,47265.11,6575067.070000001,23.853226755155486,A
48187,DOORMAT NEW ENGLAND,5399,332,50.58438559360849,7.305818673883627,16.262048192771083,221.0,272.0,10,73.05818673883627,Reorder Now,47265.11,47265.11,47265.11,6622332.180000002,24.024696547696685,A
21523,DOORMAT FANCY FONT HOME SWEET HOME,5209,311,46.882366080987495,7.04871447902571,16.7491961414791,205.0,254.0,8,56.38971583220568,Reorder Now,47225.46,47225.46,47225.46,6669557.6400000015,24.196022496771228,A
21523,DOOR MAT FANCY FONT HOME SWEET HOME,1178,107,15.838510106640904,1.59404600811908,11.009345794392525,69.0,80.0,17,27.09878213802436,Reorder Now,47225.46,47225.46,47225.46,6716783.1000000015,24.36734844584577,A
21523,FANCY FONT HOME SWEET HOME DOORMAT,663,48,13.315574387783494,0.8971583220568335,13.8125,58.0,64.0,17,15.25169147496617,Reorder Now,47225.46,47225.46,47225.46,6764008.560000001,24.538674394920314,A
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,8414,217,56.77448629364085,11.385656292286876,38.774193548387096,248.0,328.0,14,159.39918809201626,Reorder Now,47095.72,47095.72,47095.72,6811104.280000001,24.709529669307244,A
21928,JUMBO BAG SCANDINAVIAN PAISLEY,16366,308,72.4076469571678,22.14614343707713,53.13636363636363,316.0,471.0,13,287.89986468200266,Reorder Now,47095.72,47095.72,47095.72,6858200.000000001,24.88038494369417,A
22355,"CHARLOTTE BAG , SUKI DESIGN",4409,120,38.46716286714708,5.96617050067659,36.74166666666667,168.0,210.0,10,59.6617050067659,Reorder Now,46633.44,46633.44,46633.44,6904833.440000001,25.049563144745274,A
22355,CHARLOTTE BAG SUKI DESIGN,28283,443,80.18691756430923,38.27198917456022,63.84424379232506,350.0,618.0,7,267.9039242219216,Reorder Now,46633.44,46633.44,46633.44,6951466.880000002,25.218741345796374,A
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,14714,341,107.85359592622632,19.9106901217862,43.14956011730205,471.0,610.0,17,338.4817320703654,Reorder Now,46546.53,46546.53,46546.53,6998013.410000002,25.387604252126494,A
71477,COLOURED GLASS STAR T-LIGHT HOLDER,1013,19,71.27727753216772,1.3707713125845735,53.31578947368421,311.0,321.0,11,15.078484438430309,Reorder Now,46546.53,46546.53,46546.53,7044559.940000002,25.556467158456613,A
20727,LUNCH BAG  BLACK SKULL.,27126,579,118.40472150717753,36.7063599458728,46.84974093264249,517.0,774.0,10,367.063599458728,Reorder Now,46422.49,46422.49,46422.49,7090982.4300000025,25.724880068731142,A
48185,DOORMAT FAIRY CAKE,5131,312,68.61971897268678,6.943166441136671,16.44551282051282,300.0,349.0,19,131.92016238159675,Reorder Now,46104.340000000004,46104.340000000004,46104.340000000004,7137086.770000002,25.892138784833758,A
48185,DOOR MAT FAIRY CAKE,1731,152,17.657540400860384,2.342354533152909,11.388157894736842,77.0,93.0,10,23.42354533152909,Reorder Now,46104.340000000004,46104.340000000004,46104.340000000004,7183191.110000002,26.059397500936377,A
22138,BAKING SET 9 PIECE RETROSPOT ,9383,514,29.174597512903173,12.696887686062244,18.254863813229573,127.0,216.0,13,165.05953991880918,Reorder Now,45966.16,45966.16,45966.16,7229157.270000002,26.22615492346465,A
22326,"ROUND SNACK BOXES ,SET4, WOODLAND ",66,3,18.33030277982336,0.0893098782138024,22.0,80.0,81.0,3,0.2679296346414072,Reorder Now,45046.68,45046.68,45046.68,7274203.950000002,26.38957662869859,A
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,15624,483,51.06121875373713,21.14208389715832,32.34782608695652,223.0,371.0,8,169.13667117726655,Reorder Now,45046.68,45046.68,45046.68,7319250.630000002,26.552998333932532,A
21915,RED  HARMONICA IN BOX ,38191,411,256.4659798126412,51.67929634641407,92.9221411192214,1120.0,1482.0,5,258.3964817320704,Reorder Now,44808.8,44808.8,44808.8,7364059.430000002,26.715557050923138,A
82494L,WOODEN FRAME ANTIQUE WHITE ,15645,527,28.287004757201213,21.170500676589988,29.686907020872862,123.0,271.0,14,296.3870094722598,OK,44796.9,44796.9,44796.9,7408856.330000002,26.878072596734604,A
21175,GIN AND TONIC DIET METAL SIGN,498,13,48.80810147128004,0.6738836265223275,38.30769230769231,213.0,218.0,1,0.6738836265223275,Reorder Now,44391.43,44391.43,44391.43,7453247.760000002,27.039117166242793,A
21175,GIN + TONIC DIET METAL SIGN,20407,515,134.38492735454702,27.614343707713125,39.6252427184466,587.0,780.0,6,165.68606224627877,Reorder Now,44391.43,44391.43,44391.43,7497639.190000001,27.200161735750978,A
22383,LUNCH BAG SUKI DESIGN ,10332,231,43.391234247093806,13.98105548037889,44.72727272727273,189.0,287.0,1,13.98105548037889,Reorder Now,43932.56,43932.56,43932.56,7541571.750000001,27.35954160282425,A
22383,LUNCH BAG SUKI  DESIGN ,14719,320,65.30178308604066,19.91745602165088,45.996875,285.0,424.0,10,199.1745602165088,Reorder Now,43932.56,43932.56,43932.56,7585504.3100000005,27.518921469897528,A
22383,LUNCHBAG SUKI  DESIGN ,410,17,25.231137392468995,0.5548037889039242,24.11764705882353,110.0,114.0,18,9.986468200270636,Reorder Now,43932.56,43932.56,43932.56,7629436.87,27.6783013369708,A
84078A,SET/4 WHITE RETRO STORAGE CUBES ,1129,242,12.0922952098828,1.5277401894451963,4.6652892561983474,53.0,64.0,15,22.916102841677944,Reorder Now,43921.51,43921.51,43921.51,7673358.38,27.837641116520583,A
23298,SPOTTY BUNTING,8327,185,50.272733251516605,11.267929634641408,45.01081081081081,219.0,298.0,7,78.87550744248986,Reorder Now,43182.83,43182.83,43182.83,7716541.21,27.994301090472657,A
23298,"BUNTING , SPOTTY ",146,7,23.667337347975103,0.1975642760487145,20.857142857142858,103.0,104.0,7,1.3829499323410015,Reorder Now,43182.83,43182.83,43182.83,7759724.04,28.150961064424727,A
20728,LUNCH BAG CARS BLUE,24892,572,110.36767738887644,33.68335588633288,43.51748251748252,482.0,718.0,2,67.36671177266577,Reorder Now,42784.74,42784.74,42784.74,7802508.78,28.306176835460256,A
82482,WOODEN PICTURE FRAME WHITE FINISH,17198,517,39.27977309345311,23.27198917456021,33.26499032882012,171.0,334.0,12,279.2638700947225,Reorder Now,42546.58,42546.58,42546.58,7845055.36,28.460528602460005,A
23203,JUMBO BAG VINTAGE DOILY ,11464,108,116.52321695695046,15.512855209742895,106.14814814814817,509.0,618.0,5,77.56427604871448,Reorder Now,42067.78,42067.78,42067.78,7887123.140000001,28.613143364369346,A
23203,JUMBO BAG VINTAGE DOILEY ,144,2,45.254833995939045,0.1948579161028416,72.0,198.0,199.0,5,0.974289580514208,Reorder Now,42067.78,42067.78,42067.78,7929190.920000001,28.76575812627869,A
23203,JUMBO BAG DOILEY PATTERNS,8895,92,112.5242761937141,12.036535859269282,96.68478260869566,491.0,575.0,4,48.14614343707713,Reorder Now,42067.78,42067.78,42067.78,7971258.700000001,28.91837288818803,A
20713,JUMBO BAG OWLS,21199,443,81.35283555220742,28.686062246278755,47.85327313769752,355.0,556.0,5,143.43031123139377,Reorder Now,41390.09,41390.09,41390.09,8012648.790000001,29.068529105862368,A
22083,PAPER CHAIN KIT RETRO SPOT,7582,232,64.75168675373138,10.259810554803789,32.68103448275862,283.0,355.0,9,92.3382949932341,Reorder Now,41379.060000000005,41379.060000000005,41379.060000000005,8054027.850000001,29.21864530856982,A
22083,PAPER CHAIN KIT RETROSPOT,6426,312,24.026319664203264,8.69553450608931,20.596153846153847,105.0,166.0,8,69.56427604871448,Reorder Now,41379.060000000005,41379.060000000005,41379.060000000005,8095406.91,29.368761511277263,A
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,14552,478,140.92598809047797,19.6914749661705,30.443514644351463,615.0,753.0,6,118.148849797023,Reorder Now,40508.26,40508.26,40508.26,8135915.17,29.515718599463558,A
22328,"ROUND SNACK BOXES ,SET 4, FRUITS ",84,5,10.73312629199899,0.1136671177266576,16.8,47.0,48.0,2,0.2273342354533152,Reorder Now,40508.26,40508.26,40508.26,8176423.43,29.662675687649852,A
84997D,CHILDRENS CUTLERY POLKADOT PINK,3668,189,46.13864568547195,4.963464140730717,19.40740740740741,201.0,236.0,13,64.52503382949932,Reorder Now,40308.03,40308.03,40308.03,8216731.46,29.808906375399115,A
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,4358,186,35.92150537068962,5.897158322056834,23.43010752688172,157.0,198.0,16,94.35453315290934,Reorder Now,40308.03,40308.03,40308.03,8257039.49,29.955137063148374,A
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,2735,112,46.482126448244365,3.700947225981056,24.419642857142858,203.0,229.0,5,18.50473612990528,Reorder Now,40308.03,40308.03,40308.03,8297347.5200000005,30.101367750897634,A
22960,JAM MAKING SET WITH JARS,9302,298,36.36136695514888,12.587280108254395,31.21476510067114,159.0,247.0,14,176.22192151556155,Reorder Now,39694.56,39694.56,39694.56,8337042.08,30.245372873666078,A
85066,CREAM SWEETHEART MINI CHEST,3148,456,13.13662394834999,4.259810554803789,6.9035087719298245,57.0,87.0,12,51.11772665764546,Reorder Now,39428.65,39428.65,39428.65,8376470.73,30.38841332011124,A
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,742,75,8.29290372862559,1.0040595399188093,9.893333333333333,36.0,43.0,10,10.040595399188092,Reorder Now,39382.5,39382.5,39382.5,8415853.23,30.53128634219357,A
82486,WOOD S/3 CABINET ANT WHITE FINISH,4157,430,10.785408880646068,5.625169147496617,9.667441860465116,47.0,86.0,19,106.87821380243572,OK,39382.5,39382.5,39382.5,8455235.73,30.674159364275898,A
22699,TEACUP AND SAUCER REGENCY ROSES,210,13,18.06398882605092,0.2841677943166441,16.153846153846153,79.0,81.0,11,3.125845737483085,Reorder Now,39134.89,39134.89,39134.89,8494370.620000001,30.816134099327243,A
22699,ROSES REGENCY TEACUP AND SAUCER ,13129,376,57.55679963650831,17.765899864682,34.91755319148936,251.0,375.0,2,35.531799729364,Reorder Now,39134.89,39134.89,39134.89,8533505.510000002,30.95810883437859,A
20726,LUNCH BAG WOODLAND,22341,570,107.53101799784535,30.231393775372126,39.194736842105264,469.0,681.0,2,60.46278755074425,Reorder Now,38949.73,38949.73,38949.73,8572455.240000002,31.09941184039372,A
21485,RETROSPOT HEART HOT WATER BOTTLE,5460,247,40.03521128854287,7.388362652232747,22.105263157894736,175.0,227.0,1,7.388362652232747,Reorder Now,38840.8,38840.8,38840.8,8611296.040000003,31.240319666867293,A
